Attrition,BusinessTravel,Department,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,YearsSinceLastPromotion,Attrition_bin,OverTime_bin,BusinessTravel_ord
Yes,Travel_Rarely,Research & Development,3,3,1,3,1420,No,13,3,0,3,0,1,0,1
No,Travel_Rarely,Sales,3,3,3,2,8020,No,15,3,2,2,6,0,0,1
No,Travel_Frequently,Research & Development,3,4,1,4,3688,No,18,4,2,3,0,0,0,2
No,Travel_Rarely,Research & Development,4,1,2,2,5482,No,18,4,1,3,1,0,0,1
No,Travel_Rarely,Sales,4,3,4,2,16015,No,19,2,0,3,0,0,0,1
No,Travel_Rarely,Sales,4,2,1,3,1200,No,12,1,0,3,0,0,0,1
No,Travel_Rarely,Research & Development,2,4,2,1,5661,No,19,3,0,3,0,0,0,1
No,Travel_Rarely,Sales,2,4,2,4,6929,No,11,2,1,2,7,0,0,1
No,Travel_Rarely,Research & Development,3,4,3,4,9613,No,17,1,3,2,3,0,0,1
No,Non-Travel,Research & Development,2,3,2,2,5674,No,15,3,1,3,0,0,0,0
No,Travel_Rarely,Sales,4,2,2,3,5484,No,14,3,1,2,4,0,0,1
No,Travel_Rarely,Research & Development,1,2,3,2,12061,No,17,3,1,3,0,0,0,1
No,Non-Travel,Research & Development,4,1,2,3,5660,Yes,13,4,1,3,1,0,1,0
No,Travel_Rarely,Research & Development,3,3,1,4,4821,Yes,12,3,1,3,0,0,1,1
No,Travel_Rarely,Human Resources,1,2,2,1,6410,No,12,4,0,3,1,0,0,1
No,Travel_Frequently,Research & Development,1,3,3,1,5210,No,18,1,1,3,9,0,0,2
No,Travel_Rarely,Research & Development,3,3,1,4,2695,Yes,18,2,1,1,2,0,1,1
No,Travel_Frequently,Research & Development,4,3,3,2,11878,No,11,2,2,3,8,0,0,2
No,Travel_Rarely,Research & Development,3,3,4,1,17068,Yes,14,4,0,3,11,0,1,1
No,Travel_Frequently,Research & Development,3,3,1,4,2455,No,19,1,0,3,1,0,0,2
No,Travel_Rarely,Research & Development,3,2,4,3,13964,Yes,12,4,0,3,0,0,1,1
Yes,Travel_Rarely,Research & Development,3,2,2,2,4941,No,15,1,0,2,7,1,0,1
No,Travel_Rarely,Research & Development,3,3,1,2,2478,Yes,12,2,0,2,1,0,1,1
No,Travel_Rarely,Sales,3,2,2,2,5228,Yes,11,4,0,3,11,0,1,1
No,Travel_Rarely,Sales,4,3,2,3,4478,Yes,11,1,0,3,0,0,1,1
No,Travel_Rarely,Sales,4,3,2,4,7547,No,12,4,3,3,1,0,0,1
No,Travel_Rarely,Research & Development,1,4,2,4,5055,No,16,3,0,2,0,0,0,1
Yes,Travel_Rarely,Research & Development,1,1,1,4,3464,Yes,13,4,0,2,2,1,1,1
No,Travel_Rarely,Research & Development,4,3,2,4,5775,No,13,4,2,3,1,0,0,1
No,Travel_Frequently,Research & Development,3,2,3,3,8943,No,24,1,1,3,8,0,0,2
No,Travel_Frequently,Research & Development,3,2,5,4,19272,No,15,1,1,3,13,0,0,2
Yes,Travel_Rarely,Sales,4,3,2,3,5238,Yes,18,1,0,2,0,1,1,1
No,Travel_Frequently,Sales,2,2,2,4,4682,No,14,3,0,2,0,0,0,2
No,Travel_Rarely,Research & Development,4,3,5,3,18300,No,11,2,1,3,1,0,0,1
No,Travel_Frequently,Research & Development,3,2,2,3,5257,No,11,2,1,4,0,0,0,2
No,Non-Travel,Sales,3,3,2,2,6349,Yes,13,4,1,3,1,0,1,0
No,Travel_Frequently,Research & Development,4,3,2,3,4869,No,12,4,0,2,0,0,0,2
No,Travel_Rarely,Research & Development,3,3,3,1,9985,No,16,1,1,2,0,0,0,1
No,Travel_Rarely,Research & Development,4,3,2,4,3697,No,14,1,2,3,9,0,0,1
No,Travel_Rarely,Sales,2,1,2,4,7457,Yes,22,3,3,2,0,0,1,1
Yes,Travel_Rarely,Research & Development,2,1,1,1,2119,Yes,11,4,0,2,0,1,1,1
No,Travel_Rarely,Research & Development,2,2,1,4,3983,No,17,3,0,3,2,0,0,1
No,Travel_Rarely,Sales,4,2,2,3,6118,No,13,3,3,3,1,0,0,1
No,Travel_Rarely,Sales,2,3,2,2,6214,No,18,1,1,3,0,0,0,1
No,Travel_Rarely,Research & Development,4,3,2,4,6347,No,16,3,2,2,0,0,0,1
No,Travel_Rarely,Research & Development,3,2,3,4,11510,Yes,14,2,1,3,2,0,1,1
No,Travel_Rarely,Research & Development,3,3,3,4,7143,Yes,14,3,0,2,4,0,1,1
No,Travel_Rarely,Sales,4,2,2,2,8268,Yes,14,1,2,3,1,0,1,1
No,Travel_Rarely,Research & Development,3,3,3,2,8095,No,13,4,0,3,0,0,0,1
No,Travel_Rarely,Research & Development,3,3,1,4,2904,No,12,3,2,2,0,0,0,1
No,Travel_Rarely,Research & Development,4,2,2,2,6032,Yes,15,4,0,3,1,0,1,1
No,Travel_Frequently,Sales,2,3,2,3,2976,No,19,1,0,3,0,0,0,2
No,Travel_Rarely,Research & Development,1,3,4,4,15992,No,14,2,0,3,0,0,0,1
No,Non-Travel,Sales,4,3,2,3,4649,No,14,1,1,2,0,0,0,0
No,Travel_Rarely,Human Resources,3,3,1,3,2696,Yes,11,3,1,3,1,0,1,1
No,Travel_Rarely,Research & Development,3,3,1,2,2370,No,13,3,1,3,0,0,0,1
No,Travel_Rarely,Sales,1,3,3,3,12504,No,21,2,1,1,0,0,0,1
No,Travel_Rarely,Research & Development,3,4,2,1,5974,Yes,13,1,2,3,6,0,1,1
No,Non-Travel,Sales,4,3,2,3,4736,Yes,12,2,1,4,2,0,1,0
No,Travel_Rarely,Sales,3,3,2,3,5296,No,17,2,1,3,7,0,0,1
No,Travel_Rarely,Research & Development,1,2,2,4,6781,No,23,2,0,3,0,0,0,1
Yes,Travel_Frequently,Sales,1,2,1,2,2174,Yes,11,3,0,3,1,1,1,2
No,Non-Travel,Sales,4,3,2,4,6653,No,15,2,0,3,0,0,0,0
No,Travel_Frequently,Sales,1,2,3,4,9699,No,11,1,1,3,1,0,0,2
No,Travel_Rarely,Research & Development,4,3,2,3,6755,No,11,3,0,3,1,0,0,1
No,Travel_Rarely,Research & Development,4,4,1,3,2213,Yes,13,3,1,3,1,0,1,1
No,Non-Travel,Sales,1,3,1,4,2610,No,24,3,0,2,2,0,0,0
Yes,Travel_Rarely,Sales,4,3,1,3,2851,Yes,13,2,0,3,0,1,1,1
No,Travel_Rarely,Research & Development,3,3,1,1,3452,No,20,2,1,3,0,0,0,1
No,Non-Travel,Research & Development,3,3,2,3,5258,No,14,3,0,4,0,0,0,0
Yes,Travel_Frequently,Sales,1,3,2,2,9355,No,18,3,0,3,7,1,0,2
No,Travel_Rarely,Research & Development,4,2,3,4,10496,No,15,4,0,3,1,0,0,1
Yes,Travel_Rarely,Sales,3,2,2,3,6380,Yes,12,1,2,3,1,1,1,1
No,Travel_Rarely,Research & Development,3,2,1,2,2657,Yes,16,4,0,3,2,0,1,1
Yes,Travel_Rarely,Sales,3,4,1,2,2716,No,15,4,0,3,0,1,0,1
No,Travel_Rarely,Research & Development,4,3,1,4,2201,No,16,4,0,3,1,0,0,1
No,Travel_Rarely,Research & Development,3,2,2,2,6540,No,19,3,0,3,0,0,0,1
No,Travel_Rarely,Research & Development,4,3,1,2,3816,No,11,2,1,3,0,0,0,1
No,Travel_Rarely,Sales,2,3,2,4,5253,No,16,4,0,3,0,0,0,1
No,Travel_Rarely,Research & Development,2,2,3,3,10965,No,24,3,0,3,0,0,0,1
No,Travel_Rarely,Sales,3,3,2,4,4936,No,11,3,1,2,0,0,0,1
No,Travel_Rarely,Research & Development,4,3,1,3,2543,No,13,2,1,3,2,0,0,1
Yes,Non-Travel,Sales,1,4,2,4,5304,Yes,13,2,0,2,0,1,1,0
No,Travel_Rarely,Research & Development,3,3,4,4,16659,Yes,13,3,0,3,1,0,1,1
No,Travel_Rarely,Sales,4,3,2,3,4260,Yes,12,4,1,4,0,0,1,1
No,Travel_Rarely,Sales,3,3,1,2,2476,No,18,1,1,3,0,0,0,1
Yes,Travel_Frequently,Research & Development,3,3,1,1,3102,No,22,3,0,3,0,1,0,2
No,Travel_Rarely,Research & Development,1,3,1,2,2244,No,13,4,1,3,1,0,0,1
No,Travel_Rarely,Sales,2,2,3,3,7596,No,13,2,2,3,9,0,0,1
Yes,Travel_Frequently,Research & Development,3,3,1,4,2285,Yes,23,3,0,3,0,1,1,2
No,Travel_Rarely,Research & Development,4,3,1,1,3034,No,12,3,1,2,12,0,0,1
No,Travel_Rarely,Sales,4,3,2,2,5715,No,12,3,2,3,1,0,0,1
No,Travel_Rarely,Research & Development,2,3,1,1,2576,No,16,2,1,3,1,0,0,1
No,Travel_Rarely,Research & Development,3,3,2,2,4197,Yes,12,4,0,2,0,0,1,1
No,Travel_Rarely,Research & Development,1,2,4,2,14336,No,11,3,1,3,3,0,0,1
No,Travel_Rarely,Research & Development,2,2,2,3,3448,No,22,2,1,3,0,0,0,1
No,Travel_Rarely,Research & Development,1,3,5,1,19406,No,11,3,1,2,1,0,0,1
No,Non-Travel,Sales,3,3,2,3,6538,No,15,1,1,3,1,0,0,0
No,Travel_Rarely,Research & Development,2,3,2,1,4306,No,12,2,1,1,3,0,0,1
No,Travel_Frequently,Research & Development,4,3,1,4,2258,No,20,1,1,3,1,0,0,2
No,Travel_Rarely,Research & Development,3,3,2,3,4522,Yes,14,4,0,3,0,0,1,1
No,Travel_Rarely,Sales,2,2,2,4,4487,Yes,11,2,0,3,1,0,1,1
No,Non-Travel,Research & Development,2,3,2,3,4449,Yes,15,1,2,3,10,0,1,0
No,Travel_Rarely,Research & Development,4,2,1,1,2218,No,12,3,1,3,3,0,0,1
No,Travel_Frequently,Research & Development,2,3,5,3,19197,Yes,14,3,1,3,1,0,1,2
No,Travel_Frequently,Sales,3,4,4,1,13212,No,11,4,3,2,7,0,0,2
No,Travel_Rarely,Sales,2,3,2,3,6577,No,11,2,0,3,4,0,0,1
No,Travel_Rarely,Sales,2,4,3,1,8392,No,16,3,1,3,0,0,0,1
No,Travel_Rarely,Research & Development,3,3,2,1,4558,No,12,4,1,3,1,0,0,1
Yes,Travel_Rarely,Research & Development,1,3,1,1,4031,No,13,3,1,3,0,1,0,1
No,Travel_Rarely,Research & Development,4,2,3,3,7969,Yes,14,3,0,3,0,0,1,1
No,Travel_Rarely,Research & Development,1,3,1,4,2654,No,21,4,2,2,0,0,0,1
No,Travel_Rarely,Research & Development,4,3,4,4,16555,No,13,4,0,1,1,0,0,1
No,Travel_Frequently,Research & Development,1,3,2,3,4556,No,11,2,1,3,0,0,0,2
No,Travel_Rarely,Research & Development,3,1,2,4,6091,No,20,3,0,3,0,0,0,1
No,Travel_Rarely,Research & Development,1,3,5,1,19566,No,11,4,0,1,11,0,0,1
No,Travel_Rarely,Research & Development,3,3,2,3,4810,No,14,3,1,2,0,0,0,1
No,Travel_Frequently,Research & Development,4,2,2,4,4523,No,11,4,3,4,0,0,0,2
Yes,Travel_Rarely,Sales,1,3,1,2,3202,Yes,16,2,0,3,1,1,1,1
Yes,Travel_Frequently,Sales,4,1,1,3,2351,No,16,4,1,2,1,1,0,2
No,Travel_Frequently,Research & Development,4,3,1,4,1702,Yes,23,3,1,3,0,0,1,2
No,Travel_Rarely,Sales,3,3,5,3,18041,No,14,4,0,3,1,0,0,1
No,Travel_Rarely,Research & Development,1,3,1,4,2886,No,22,2,2,1,0,0,0,1
No,Non-Travel,Research & Development,3,3,1,4,2097,No,15,3,1,1,1,0,0,0
No,Travel_Rarely,Research & Development,2,2,3,3,11935,No,18,3,0,3,0,0,0,1
Yes,Travel_Rarely,Research & Development,3,2,1,2,2546,No,16,2,0,4,1,1,0,1
Yes,Travel_Rarely,Human Resources,1,2,1,4,2564,No,12,3,0,4,0,1,0,1
No,Non-Travel,Sales,3,3,3,1,8412,No,11,3,0,3,7,0,0,0
No,Travel_Rarely,Sales,1,2,4,4,14118,No,12,3,1,2,0,0,0,1
No,Travel_Rarely,Research & Development,2,2,4,3,17046,No,15,2,1,3,15,0,0,1
No,Non-Travel,Research & Development,3,3,1,4,2564,No,14,3,0,2,6,0,0,0
No,Travel_Frequently,Sales,3,2,3,1,10266,No,19,4,0,4,13,0,0,2
No,Travel_Rarely,Research & Development,1,3,2,4,5070,No,13,3,3,3,0,0,0,1
No,Travel_Rarely,Research & Development,1,3,4,3,17861,No,13,3,0,1,0,0,0,1
No,Travel_Rarely,Research & Development,4,1,1,3,4230,No,15,3,0,3,4,0,0,1
No,Travel_Rarely,Research & Development,3,3,2,3,3780,No,11,3,0,3,0,0,0,1
No,Travel_Rarely,Research & Development,4,2,1,3,2768,No,12,3,1,3,5,0,0,1
No,Travel_Rarely,Sales,3,2,3,4,9071,Yes,19,3,1,3,1,0,1,1
No,Travel_Rarely,Research & Development,3,3,3,2,10648,No,25,4,1,4,0,0,0,1
Yes,Travel_Rarely,Research & Development,2,3,3,3,13610,Yes,12,4,0,4,7,1,1,1
Yes,Travel_Rarely,Research & Development,1,1,1,4,3408,No,13,1,3,3,1,1,0,1
No,Travel_Rarely,Sales,4,3,1,2,2983,No,14,1,0,3,1,0,0,1
No,Travel_Rarely,Research & Development,4,3,3,3,7632,Yes,12,3,0,3,0,0,1,1
Yes,Travel_Frequently,Research & Development,1,3,3,3,9824,No,12,1,0,3,0,1,0,2
Yes,Travel_Frequently,Human Resources,2,3,3,1,9950,Yes,15,3,3,3,0,1,1,2
No,Travel_Frequently,Research & Development,2,3,1,3,2093,No,17,4,1,3,2,0,0,2
No,Non-Travel,Sales,2,3,3,4,9980,No,14,4,0,2,9,0,0,0
Yes,Travel_Frequently,Research & Development,3,2,1,3,3894,No,16,3,0,3,1,1,0,2
No,Travel_Rarely,Sales,2,3,2,4,4051,No,14,1,1,3,6,0,0,1
No,Travel_Rarely,Sales,1,3,4,2,16835,No,23,4,0,3,7,0,0,1
No,Non-Travel,Sales,4,3,2,4,6230,No,14,4,0,3,1,0,0,0
No,Travel_Rarely,Sales,2,3,2,3,4717,No,11,3,0,3,6,0,0,1
No,Travel_Rarely,Research & Development,2,3,4,3,13237,No,15,3,0,3,5,0,0,1
No,Travel_Frequently,Research & Development,3,3,1,3,3755,No,11,1,1,3,0,0,0,2
No,Travel_Rarely,Sales,2,3,2,4,6582,Yes,13,3,0,4,0,0,1,1
No,Travel_Rarely,Research & Development,4,3,3,1,7406,Yes,21,4,1,2,5,0,1,1
No,Travel_Rarely,Sales,4,3,2,2,4805,No,19,2,1,4,3,0,0,1
Yes,Travel_Frequently,Human Resources,2,3,1,3,2741,Yes,11,2,1,2,1,1,1,2
No,Travel_Rarely,Research & Development,4,3,2,4,4262,No,12,2,2,4,1,0,0,1
No,Travel_Rarely,Research & Development,1,4,4,3,16184,No,19,3,1,3,0,0,0,1
No,Travel_Rarely,Sales,3,2,3,4,11557,No,21,3,1,2,0,0,0,1
Yes,Travel_Frequently,Sales,2,3,1,2,1878,Yes,14,4,0,3,0,1,1,2
No,Non-Travel,Sales,3,1,3,1,10932,No,15,3,1,3,0,0,0,0
No,Non-Travel,Research & Development,1,2,2,3,6811,Yes,17,1,0,3,0,0,1,0
No,Travel_Rarely,Sales,1,3,2,3,4306,No,12,1,2,3,0,0,0,1
No,Travel_Rarely,Sales,1,3,2,3,4859,No,16,4,0,3,0,0,0,1
No,Travel_Rarely,Sales,4,4,2,4,5337,No,12,4,0,3,5,0,0,1
Yes,Travel_Rarely,Research & Development,3,1,1,4,2340,Yes,18,2,0,1,0,1,1,1
No,Travel_Rarely,Research & Development,2,3,3,4,7491,No,17,4,0,4,1,0,0,1
No,Travel_Frequently,Research & Development,1,3,3,3,10527,No,11,4,0,2,1,0,0,2
No,Travel_Rarely,Sales,2,3,4,1,16595,No,16,2,1,3,11,0,0,1
No,Non-Travel,Sales,1,3,3,2,8834,No,13,4,1,3,7,0,0,0
No,Travel_Rarely,Research & Development,4,3,2,1,5577,Yes,12,2,2,3,6,0,1,1
Yes,Non-Travel,Sales,4,4,2,3,4707,No,12,4,0,3,1,1,0,0
No,Travel_Frequently,Sales,4,3,1,4,2400,No,13,3,2,3,2,0,0,2
No,Travel_Rarely,Research & Development,3,3,2,3,9824,No,19,3,1,3,0,0,0,1
No,Travel_Rarely,Research & Development,2,3,2,2,6447,No,12,2,1,2,4,0,0,1
No,Travel_Rarely,Research & Development,4,2,5,3,19502,Yes,17,3,1,3,0,0,1,1
No,Travel_Rarely,Research & Development,2,4,1,4,2725,Yes,11,2,2,3,1,0,1,1
No,Travel_Rarely,Sales,1,3,2,2,6272,No,20,4,2,4,1,0,0,1
No,Travel_Rarely,Research & Development,4,2,1,2,2127,No,21,4,1,3,0,0,0,1
No,Travel_Frequently,Human Resources,1,3,5,2,18200,No,11,3,1,3,10,0,0,2
No,Travel_Rarely,Sales,2,3,1,3,2096,No,11,3,0,3,0,0,0,1
Yes,Travel_Frequently,Research & Development,1,3,1,3,2886,Yes,16,4,1,3,1,1,1,2
Yes,Travel_Frequently,Sales,2,2,1,1,2033,No,18,3,1,4,0,1,0,2
No,Travel_Rarely,Research & Development,2,2,1,4,3622,Yes,13,4,1,3,1,0,1,1
Yes,Travel_Rarely,Sales,2,3,2,1,4233,No,17,3,0,1,1,1,0,1
No,Travel_Rarely,Research & Development,1,2,2,4,3681,No,14,4,0,3,0,0,0,1
No,Travel_Rarely,Sales,1,4,2,4,5460,No,22,4,2,4,5,0,0,1
No,Travel_Rarely,Research & Development,1,2,1,3,2187,No,12,3,2,2,0,0,0,1
No,Travel_Rarely,Sales,4,3,2,3,9602,Yes,11,3,1,2,1,0,1,1
No,Travel_Rarely,Research & Development,4,2,1,2,2836,No,13,4,0,4,0,0,0,1
No,Travel_Rarely,Research & Development,3,3,2,4,4089,No,13,2,2,3,2,0,0,1
No,Travel_Rarely,Research & Development,2,2,4,4,16627,Yes,14,3,1,2,0,0,1,1
No,Travel_Rarely,Research & Development,3,3,1,1,2619,No,17,4,0,2,0,0,0,1
No,Travel_Frequently,Research & Development,4,3,2,3,5679,Yes,13,2,1,3,4,0,1,2
No,Travel_Rarely,Research & Development,4,2,4,1,15402,No,11,1,1,1,0,0,0,1
No,Travel_Rarely,Human Resources,1,2,2,3,5985,No,11,2,0,4,0,0,0,1
No,Travel_Rarely,Sales,3,3,1,3,2579,Yes,18,4,2,3,0,0,1,1
Yes,Travel_Rarely,Sales,3,3,1,1,3041,No,11,2,1,3,0,1,0,1
No,Travel_Rarely,Sales,3,3,1,3,3447,No,11,3,0,3,1,0,0,1
No,Travel_Rarely,Research & Development,4,3,5,4,19513,Yes,12,1,1,4,0,0,1,1
No,Travel_Rarely,Research & Development,1,3,1,3,2773,No,20,4,0,3,2,0,0,1
No,Travel_Rarely,Sales,3,3,2,3,7104,No,12,4,0,3,1,0,0,1
No,Travel_Rarely,Research & Development,1,3,2,4,6322,Yes,12,4,1,2,0,0,1,1
No,Travel_Frequently,Research & Development,3,3,1,3,2083,No,20,3,1,3,0,0,0,2
No,Travel_Rarely,Sales,4,3,2,1,8381,No,20,4,0,4,8,0,0,1
No,Travel_Rarely,Research & Development,2,3,1,4,2691,No,12,4,1,2,8,0,0,1
Yes,Travel_Frequently,Sales,1,3,2,1,4286,No,14,4,2,3,0,1,0,2
No,Travel_Rarely,Research & Development,3,3,1,4,2659,Yes,13,3,1,3,0,0,1,1
No,Travel_Rarely,Research & Development,3,3,3,3,9434,No,15,3,1,3,7,0,0,1
No,Travel_Rarely,Sales,2,3,2,3,5561,No,14,1,1,2,1,0,0,1
No,Travel_Rarely,Research & Development,2,1,2,4,6646,No,13,2,0,3,11,0,0,1
No,Travel_Frequently,Research & Development,3,3,2,4,7725,No,23,3,1,1,4,0,0,2
No,Travel_Rarely,Human Resources,3,3,3,2,10725,No,15,3,1,4,7,0,0,1
No,Travel_Rarely,Research & Development,2,2,2,2,8847,Yes,11,3,1,3,0,0,1,1
No,Travel_Rarely,Research & Development,1,2,1,4,2045,No,13,4,0,3,1,0,0,1
Yes,Travel_Rarely,Research & Development,4,3,1,3,1009,Yes,11,4,0,3,1,1,1,1
Yes,Travel_Frequently,Research & Development,1,3,1,1,3348,Yes,11,1,0,3,9,1,1,2
No,Non-Travel,Research & Development,3,2,1,3,1281,No,18,3,2,3,0,0,0,0
No,Travel_Rarely,Research & Development,1,4,1,1,2819,No,16,1,1,4,0,0,0,1
No,Travel_Rarely,Sales,4,4,2,2,4851,No,22,3,1,3,1,0,0,1
No,Travel_Rarely,Sales,4,2,2,4,4028,No,20,1,0,3,0,0,0,1
No,Travel_Frequently,Research & Development,2,1,1,4,2720,No,18,4,1,3,2,0,0,2
No,Travel_Rarely,Sales,2,4,2,2,8120,No,12,4,0,3,2,0,0,1
No,Travel_Frequently,Sales,4,4,2,4,4647,Yes,20,2,2,3,0,0,1,2
No,Travel_Rarely,Research & Development,4,4,1,4,4680,No,17,1,0,3,0,0,0,1
No,Travel_Rarely,Research & Development,4,4,1,3,3221,Yes,11,3,3,3,3,0,1,1
No,Travel_Rarely,Research & Development,4,2,3,2,8621,No,14,2,0,4,7,0,0,1
Yes,Travel_Rarely,Sales,1,3,2,3,4577,No,14,1,0,3,2,1,0,1
No,Travel_Rarely,Research & Development,4,2,2,3,4553,No,11,1,0,3,11,0,0,1
No,Travel_Rarely,Sales,4,3,2,4,5396,No,12,4,0,2,0,0,0,1
Yes,Travel_Frequently,Sales,2,3,2,3,6796,Yes,14,1,1,3,1,1,1,2
No,Travel_Rarely,Research & Development,2,4,2,4,7625,No,13,3,0,2,1,0,0,1
No,Travel_Rarely,Research & Development,3,3,3,1,7412,No,11,4,0,3,0,0,0,1
No,Travel_Rarely,Research & Development,3,3,3,4,11159,No,15,4,0,3,7,0,0,1
No,Travel_Rarely,Sales,4,3,2,1,4960,No,12,4,0,3,1,0,0,1
No,Travel_Frequently,Sales,4,2,3,1,10475,Yes,21,3,1,3,1,0,1,2
No,Travel_Rarely,Research & Development,3,4,4,3,14814,No,19,3,0,3,1,0,0,1
No,Travel_Rarely,Human Resources,2,2,5,4,19141,No,15,2,3,2,12,0,0,1
No,Travel_Rarely,Sales,1,3,2,1,5405,No,14,4,0,3,2,0,0,1
No,Travel_Frequently,Research & Development,4,3,3,1,8793,No,21,3,2,2,1,0,0,2
No,Travel_Rarely,Human Resources,4,2,5,3,19189,No,12,2,1,3,2,0,0,1
No,Travel_Rarely,Sales,4,3,1,2,3875,No,15,4,1,3,2,0,0,1
Yes,Travel_Rarely,Research & Development,1,1,1,2,2216,Yes,13,4,0,3,3,1,1,1
No,Non-Travel,Research & Development,1,4,3,1,11713,No,14,1,1,3,0,0,0,0
No,Travel_Rarely,Research & Development,3,3,3,3,7861,Yes,14,4,0,4,0,0,1,1
No,Non-Travel,Research & Development,1,1,1,3,3708,No,14,3,0,3,1,0,0,0
No,Travel_Frequently,Sales,4,3,4,3,13770,Yes,12,4,2,2,11,0,1,2
No,Travel_Rarely,Sales,3,3,2,4,5304,No,23,4,1,2,7,0,0,1
No,Travel_Rarely,Sales,3,3,1,3,2642,No,11,3,0,3,0,0,0,1
Yes,Travel_Frequently,Research & Development,3,4,1,3,2759,Yes,12,4,0,3,2,1,1,2
No,Travel_Frequently,Sales,4,2,2,4,6804,No,18,3,1,3,2,0,0,2
No,Travel_Rarely,Research & Development,2,3,2,3,6142,No,11,4,0,3,4,0,0,1
No,Travel_Rarely,Research & Development,2,3,1,1,2500,No,14,4,1,4,0,0,0,1
No,Travel_Rarely,Human Resources,3,4,2,2,6389,No,15,3,1,1,3,0,0,1
No,Travel_Rarely,Research & Development,3,3,4,4,11103,No,11,3,0,2,1,0,0,1
No,Travel_Rarely,Research & Development,4,2,1,4,2342,Yes,20,4,0,2,2,0,1,1
No,Travel_Rarely,Research & Development,4,2,2,1,6811,No,19,1,0,1,0,0,0,1
No,Travel_Rarely,Sales,4,3,1,2,2297,No,14,4,2,3,2,0,0,1
No,Travel_Rarely,Research & Development,4,3,2,4,2450,No,17,4,0,3,2,0,0,1
No,Non-Travel,Research & Development,4,3,2,1,5093,No,11,1,1,4,0,0,0,0
No,Travel_Frequently,Research & Development,1,3,2,4,5309,No,15,4,2,3,4,0,0,2
No,Travel_Rarely,Research & Development,4,3,1,3,3057,Yes,13,2,1,1,0,0,1,1
No,Travel_Rarely,Research & Development,2,3,2,1,5121,No,14,3,1,3,0,0,0,1
No,Travel_Rarely,Sales,3,2,4,1,16856,No,11,1,0,4,1,0,0,1
Yes,Travel_Rarely,Research & Development,4,3,1,4,2686,Yes,13,3,0,2,7,1,1,1
No,Travel_Rarely,Sales,3,3,2,4,6180,No,23,2,0,2,1,0,0,1
No,Travel_Rarely,Sales,2,1,2,3,6632,No,13,1,0,3,3,0,0,1
No,Travel_Rarely,Research & Development,1,4,1,3,3505,No,18,4,0,3,0,0,0,1
Yes,Travel_Frequently,Sales,2,4,2,3,6397,Yes,12,4,0,3,1,1,1,2
No,Travel_Rarely,Sales,4,3,2,4,6274,No,22,3,0,3,1,0,0,1
Yes,Travel_Rarely,Research & Development,4,3,5,1,19859,Yes,13,4,1,3,1,1,1,1
No,Non-Travel,Sales,1,2,3,1,7587,No,15,2,0,3,0,0,0,0
No,Non-Travel,Research & Development,4,3,1,4,4258,No,18,1,1,3,1,0,0,0
No,Travel_Frequently,Research & Development,1,1,1,4,4364,No,14,1,1,3,2,0,0,2
No,Travel_Rarely,Research & Development,2,3,2,3,4335,No,12,1,1,2,1,0,0,1
Yes,Travel_Rarely,Sales,4,2,2,1,5326,No,17,3,0,2,1,1,0,1
No,Travel_Rarely,Research & Development,2,4,1,4,3280,No,16,3,0,3,1,0,0,1
No,Travel_Rarely,Research & Development,4,3,2,1,5485,Yes,11,2,2,3,1,0,1,1
No,Travel_Frequently,Sales,3,3,2,4,4342,No,19,2,1,3,1,0,0,2
No,Travel_Rarely,Research & Development,4,3,1,1,2782,Yes,13,2,2,2,4,0,1,1
No,Travel_Frequently,Research & Development,1,4,2,1,5980,Yes,12,4,0,3,4,0,1,2
No,Travel_Rarely,Research & Development,3,2,1,1,4381,No,11,3,0,3,1,0,0,1
No,Travel_Rarely,Sales,1,3,1,4,2572,No,16,2,1,2,0,0,0,1
No,Travel_Rarely,Research & Development,4,1,1,3,3833,No,21,3,2,3,0,0,0,1
No,Travel_Frequently,Research & Development,3,4,2,2,4244,No,24,4,1,3,3,0,0,2
No,Travel_Rarely,Sales,3,3,2,1,6500,No,17,2,1,3,1,0,0,1
No,Travel_Frequently,Research & Development,2,3,5,4,18430,No,13,2,1,2,14,0,0,2
Yes,Travel_Rarely,Research & Development,3,4,1,1,1601,Yes,21,3,2,3,0,1,1,1
No,Non-Travel,Research & Development,3,2,1,2,2694,No,11,3,3,3,0,0,0,0
No,Travel_Rarely,Research & Development,4,3,2,3,3149,No,20,2,1,3,1,0,0,1
No,Travel_Rarely,Research & Development,3,3,4,3,17639,No,16,4,0,3,0,0,0,1
Yes,Travel_Rarely,Research & Development,2,2,1,1,2319,Yes,11,4,1,3,0,1,1,1
No,Travel_Rarely,Research & Development,3,3,3,3,11691,No,11,4,0,4,3,0,0,1
Yes,Travel_Rarely,Sales,1,3,2,1,5324,No,15,3,0,3,0,1,0,1
No,Travel_Rarely,Research & Development,3,3,4,4,16752,Yes,11,3,1,2,3,0,1,1
No,Travel_Rarely,Research & Development,3,3,2,2,5228,No,15,1,1,3,0,0,0,1
No,Travel_Rarely,Research & Development,3,4,1,3,2700,No,24,3,1,3,0,0,0,1
Yes,Travel_Rarely,Research & Development,4,3,5,2,19246,Yes,12,4,0,3,13,1,1,1
No,Travel_Rarely,Research & Development,4,4,1,3,2506,No,13,3,0,3,2,0,0,1
